,year,parish,count,property_type_category,cp
516262,2015,Ribamar,2,House,2530-645
516445,2016,Ribamar,5,House,2530-645
516628,2017,Ribamar,5,Apartment,2530-645
516811,2017,Ribamar,1,Guesthouse,2530-645
516994,2017,Ribamar,4,Hotel/Hostel,2530-645
517177,2017,Ribamar,6,House,2530-645
517360,2018,Ribamar,2,Apartment,2530-645
517543,2018,Ribamar,2,House,2530-645
517726,2019,Ribamar,2,House,2530-645
517909,2013,Areia Branca,1,Apartment,2530-70
517951,2019,Areia Branca,1,House,2530-70
517993,2013,Casal da Serra,2,House,6005-261
518003,2016,Casal da Serra,2,House,6005-261
518013,2013,Seixal,1,House,4540-497
518184,2015,Seixal,1,House,4540-497
518355,2017,Seixal,2,House,4540-497
518526,2019,Seixal,1,Apartment,4540-497
518697,2014,Arneiro,1,House,3040-752
518798,2017,Arneiro,1,House,3040-752
518899,2019,Arneiro,1,Apartment,3040-752
519000,2014,Assafora,2,House,2705-495
519150,2017,Assafora,3,House,2705-495
519300,2018,Assafora,1,Apartment,2705-495
519450,2018,Assafora,3,House,2705-495
519600,2019,Assafora,1,Apartment,2705-495
519750,2019,Assafora,2,Guesthouse,2705-495
519900,2014,Atalaia,1,House,4520-804
520183,2015,Atalaia,5,House,4520-804
520466,2016,Atalaia,2,House,4520-804
520749,2017,Atalaia,1,House,4520-804
521032,2014,Belas,1,House,2605-198
521208,2016,Belas,2,House,2605-198
521384,2019,Belas,1,Apartment,2605-198
521560,2014,Encarnação,1,House,2640-217
521893,2015,Encarnação,1,Apartment,2640-217
522226,2015,Encarnação,2,House,2640-217
522559,2016,Encarnação,1,Apartment,2640-217
522892,2016,Encarnação,1,Guesthouse,2640-217
523225,2016,Encarnação,1,House,2640-217
523558,2017,Encarnação,3,Apartment,2640-217
523891,2017,Encarnação,3,House,2640-217
524224,2018,Encarnação,1,Apartment,2640-217
524557,2018,Encarnação,3,House,2640-217
524890,2019,Encarnação,1,House,2640-217
525223,2014,Estoril,3,House,2765-190
525393,2015,Estoril,5,Apartment,2765-190
525563,2016,Estoril,3,Apartment,2765-190
525733,2016,Estoril,1,Guesthouse,2765-190
525903,2016,Estoril,5,House,2765-190
526073,2017,Estoril,13,Apartment,2765-190
526243,2017,Estoril,2,Hotel/Hostel,2765-190
